taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
8316061	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax prahovense	"Enache et al., 2007"	Haloferax prahovense	Haloferax	prahovense		species		Int. J. Syst. Evol. Microbiol. 57::395	accepted			BC
7535869	52a423d2-0486-4e77-bcee-6350d708d6ff	8367113			Halorubellus salinus	"Cui et al., 2014"	Halorubellus salinus	Halorubellus	salinus		species		Int. J. Syst. Evol. Microbiol. 64::2	accepted			BC
8091999	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax lucentense	"Gutierrez et al., 2004"	Haloferax lucentense	Haloferax	lucentense		species		Int. J. Syst. Evol. Microbiol. 54::1	accepted			BC
9535886	52a423d2-0486-4e77-bcee-6350d708d6ff	5901000			Halomarina salina	"Xu et al., 2016"	Halomarina salina	Halomarina	salina		species		Int. J. Syst. Evol. Microbiol. 66::4301	accepted			BC
5901002	7ddf754f-d193-4cc9-b351-99906754a03b	5901000			Halomarina oriensis	"Inoue et al., 2011"	Halomarina oriensis	Halomarina	oriensis		species		Int. J. Syst. Evol. Microbiol. 61::945	accepted			BC
8238890	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax larsenii	"Xu et al., 2007"	Haloferax larsenii	Haloferax	larsenii		species		Int. J. Syst. Evol. Microbiol. 57::719	accepted			BC
1000423	7ddf754f-d193-4cc9-b351-99906754a03b	1000422			Methanopyrus kandleri	"Kurr et al., 1992"	Methanopyrus kandleri	Methanopyrus	kandleri		species		Int. J. Syst. Bacteriol. 42::327	accepted			BC
9721589	52a423d2-0486-4e77-bcee-6350d708d6ff	1000195			Haloferax namakaokahaiae	"McDuff et al., 2017"	Haloferax namakaokahaiae	Haloferax	namakaokahaiae		species		Int. J. Syst. Evol. Microbiol. 67::3140	accepted			BC
5900891	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax mucosum	"Allen et al., 2008"	Haloferax mucosum	Haloferax	mucosum		species		Int. J. Syst. Evol. Microbiol. 58::801	accepted			BC
1000196	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax alexandrinus	"Asker & Ohta, 2002"	Haloferax alexandrinus	Haloferax	alexandrinus		species		Int. J. Syst. Evol. Microbiol. 52::736	accepted			BC
1000199	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax gibbonsii	"Juez et al., 1986"	Haloferax gibbonsii	Haloferax	gibbonsii		species		Int. J. Syst. Bacteriol. 36::573	accepted			BC
